model,config_name,mae_per_part,pck_at_thresholds,vis_accuracy,avg_mae,avg_mae_x,avg_mae_y,avg_pck_01,beak_mae_x,beak_mae_y,training_epochs,loss_function,learning_rate,weight_decay,hidden_dim,dropout,augmentation
densenet,wing_lr5e-05_h512_do0.2_heavy_plateau,"{'left_eye': {'x': 0.016604607924818993, 'y': 0.012745975516736507, 'total': 0.020932579413056374}, 'right_eye': {'x': 0.014249499887228012, 'y': 0.016847627237439156, 'total': 0.022065602242946625}, 'beak': {'x': 0.014686181209981441, 'y': 0.017221994698047638, 'total': 0.02263362519443035}}","{'left_eye': {'pck@0.05': 96.37638926506042, 'pck@0.1': 99.5908796787262, 'pck@0.15': 100.0, 'pck@0.2': 100.0}, 'right_eye': {'pck@0.05': 95.82417607307434, 'pck@0.1': 99.28571581840515, 'pck@0.15': 99.89010691642761, 'pck@0.2': 99.89010691642761}, 'beak': {'pck@0.05': 94.09090876579285, 'pck@0.1': 98.89204502105713, 'pck@0.15': 99.46022629737854, 'pck@0.2': 99.77272748947144}}",97.91725277900696,0.02187726895014445,0.01518009634067615,0.0156051991507411,99.25621350606282,0.014686181209981441,0.017221994698047638,24,wing,5e-05,0.0,512,0.2,heavy
densenet,wing_lr5e-05_h512_do0.2_medium_plateau,"{'left_eye': {'x': 0.013623935170471668, 'y': 0.018861962482333183, 'total': 0.023267686367034912}, 'right_eye': {'x': 0.010968809947371483, 'y': 0.01407775841653347, 'total': 0.01784651353955269}, 'beak': {'x': 0.014137805439531803, 'y': 0.017339831218123436, 'total': 0.022372914478182793}}","{'left_eye': {'pck@0.05': 96.44760489463806, 'pck@0.1': 99.40793514251709, 'pck@0.15': 100.0, 'pck@0.2': 100.0}, 'right_eye': {'pck@0.05': 97.02479243278503, 'pck@0.1': 99.61432218551636, 'pck@0.15': 99.94490146636963, 'pck@0.2': 99.94490146636963}, 'beak': {'pck@0.05': 95.03123164176941, 'pck@0.1': 98.77910017967224, 'pck@0.15': 99.46053624153137, 'pck@0.2': 99.74446296691895}}",97.70992398262024,0.02116237146159013,0.012910183519124985,0.016759850705663364,99.26711916923523,0.014137805439531803,0.017339831218123436,26,wing,5e-05,0.0,512,0.2,medium
resnet50,wing_lr5e-05_h512_do0.2_heavy_plateau,"{'left_eye': {'x': 0.014958457089960575, 'y': 0.013002860359847546, 'total': 0.01981993578374386}, 'right_eye': {'x': 0.012688803486526012, 'y': 0.015812180936336517, 'total': 0.02027389407157898}, 'beak': {'x': 0.014236110262572765, 'y': 0.01838446408510208, 'total': 0.02325199730694294}}","{'left_eye': {'pck@0.05': 97.70318269729614, 'pck@0.1': 99.7644305229187, 'pck@0.15': 99.88221526145935, 'pck@0.2': 99.94110465049744}, 'right_eye': {'pck@0.05': 97.71077632904053, 'pck@0.1': 99.60915446281433, 'pck@0.15': 99.83249306678772, 'pck@0.2': 100.0}, 'beak': {'pck@0.05': 95.00141739845276, 'pck@0.1': 99.00596141815186, 'pck@0.15': 99.40357804298401, 'pck@0.2': 99.77279305458069}}",97.61568307876587,0.02111527572075526,0.013961123613019785,0.015733168460428715,99.45984880129497,0.014236110262572765,0.01838446408510208,32,wing,5e-05,0.0,512,0.2,heavy
resnet50,wing_lr5e-05_h512_do0.2_medium_plateau,"{'left_eye': {'x': 0.016720017418265343, 'y': 0.0181808490306139, 'total': 0.02470024675130844}, 'right_eye': {'x': 0.010245783254504204, 'y': 0.01692625693976879, 'total': 0.01978570781648159}, 'beak': {'x': 0.013764137402176857, 'y': 0.019806694239377975, 'total': 0.024119630455970764}}","{'left_eye': {'pck@0.05': 96.66666388511658, 'pck@0.1': 99.76190328598022, 'pck@0.15': 100.0, 'pck@0.2': 100.0}, 'right_eye': {'pck@0.05': 96.9613254070282, 'pck@0.1': 99.66850876808167, 'pck@0.15': 99.8342514038086, 'pck@0.2': 99.94475245475769}, 'beak': {'pck@0.05': 94.10592317581177, 'pck@0.1': 98.54783415794373, 'pck@0.15': 99.34509992599487, 'pck@0.2': 99.62984323501587}}",97.63453006744385,0.022868528341253597,0.013576646024982134,0.018304600069920223,99.32608207066853,0.013764137402176857,0.019806694239377975,27,wing,5e-05,0.0,512,0.2,medium
superanimal_bird,wing_lr5e-05_h512_do0.2_heavy_plateau,,,97.6722240447998,0.026670843983689945,0.019017379110058148,0.018656745553016663,98.36581150690715,0.022386247292160988,0.02023232728242874,13,wing,5e-05,0.0,512,0.2,heavy
superanimal_bird,wing_lr5e-05_h512_do0.2_medium_plateau,,,97.51201868057251,0.027926457424958546,0.020049912855029106,0.01933700405061245,97.69137303034465,0.02357192523777485,0.020011883229017258,15,wing,5e-05,0.0,512,0.2,medium
