epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2124.47,0.36423,0.29092,0.3746,0.22415,1.01652,0.99931,0.99972,0.99499,0.99215,0.99846,0.99887,0.99444,0.97401,0.193,0.16838,0.29754,0.14831,0.65041,0.0009704,0.0009704,0.0009704
28,2192.37,0.36198,0.28976,0.37577,0.22271,1.01781,0.9996,0.99972,0.995,0.99197,0.99875,0.99887,0.99406,0.96951,0.22193,0.18596,0.29076,0.16099,0.64564,0.0009308,0.0009308,0.0009308
29,2260.33,0.36169,0.28031,0.36878,0.22212,1.01439,0.99858,0.99915,0.99486,0.99317,0.99746,0.99817,0.99401,0.96848,0.17308,0.19527,0.29975,0.13957,0.60715,0.0008912,0.0008912,0.0008912
30,2326.69,0.35297,0.29416,0.37611,0.21653,1.01015,0.99802,0.99962,0.99485,0.99354,0.99746,0.99906,0.99482,0.96942,0.1702,0.18674,0.28564,0.13061,0.6021,0.0008516,0.0008516,0.0008516
31,2392.41,0.34917,0.27353,0.37227,0.21539,1.00548,0.99915,0.99969,0.99499,0.99419,0.99829,0.99915,0.99436,0.9713,0.16676,0.1639,0.28481,0.1364,0.61146,0.000812,0.000812,0.000812
32,2457.67,0.34953,0.28291,0.3675,0.2134,1.00873,0.99963,0.99943,0.995,0.9937,0.99796,0.99774,0.99399,0.96865,0.18038,0.17995,0.29915,0.12603,0.59888,0.0007724,0.0007724,0.0007724
33,2523.24,0.34497,0.28092,0.37251,0.21082,1.00394,0.99827,0.99943,0.99491,0.99411,0.9977,0.99802,0.99423,0.97325,0.16919,0.18607,0.29935,0.13171,0.61835,0.0007328,0.0007328,0.0007328
34,2589.79,0.34203,0.27188,0.36713,0.20868,1.00354,0.99887,0.99966,0.995,0.99305,0.99795,0.99887,0.99455,0.97555,0.17858,0.16942,0.27778,0.13302,0.62528,0.0006932,0.0006932,0.0006932
35,2658.24,0.33757,0.27399,0.36798,0.20553,1.00045,0.99993,1,0.995,0.99428,0.99824,0.9983,0.994,0.96315,0.16518,0.19279,0.28758,0.12054,0.58705,0.0006536,0.0006536,0.0006536
36,2733.75,0.33352,0.27544,0.36602,0.20284,0.99887,0.99996,1,0.995,0.99424,0.99855,0.99859,0.99433,0.97769,0.18762,0.16097,0.2774,0.12769,0.61129,0.000614,0.000614,0.000614
37,2803.42,0.33417,0.26586,0.3659,0.2037,1.00058,0.99876,0.99972,0.99494,0.99352,0.99763,0.99859,0.99417,0.9804,0.16651,0.15875,0.27862,0.12716,0.60114,0.0005744,0.0005744,0.0005744
38,2870.8,0.32964,0.27795,0.36517,0.1985,0.99647,0.99941,1,0.995,0.99469,0.998,0.99859,0.99401,0.97554,0.1384,0.15661,0.28247,0.11885,0.59319,0.0005348,0.0005348,0.0005348
39,2937.04,0.32375,0.26662,0.36166,0.19701,0.99089,0.99914,1,0.995,0.9949,0.99798,0.99859,0.99432,0.98141,0.14289,0.1378,0.27363,0.12075,0.58826,0.0004952,0.0004952,0.0004952
40,3003.13,0.31642,0.26798,0.36211,0.19179,0.98623,0.99914,0.99972,0.99499,0.99485,0.99801,0.99859,0.99444,0.97842,0.15499,0.1526,0.27858,0.12451,0.59481,0.0004556,0.0004556,0.0004556
41,3118.89,0.18132,0.374,0.42833,0.12137,0.93827,1,0.99996,0.995,0.9949,0.9983,0.99826,0.99424,0.97123,0.13761,0.18412,0.28752,0.1169,0.58189,0.000416,0.000416,0.000416
42,3183.86,0.17074,0.36247,0.42951,0.11402,0.93498,1,0.99996,0.995,0.99487,0.99802,0.99798,0.99408,0.97097,0.14087,0.17384,0.28107,0.11469,0.58034,0.0003764,0.0003764,0.0003764
43,3251.75,0.16463,0.36044,0.428,0.11068,0.92743,0.99994,1,0.995,0.99495,0.99825,0.9983,0.99443,0.96793,inf,0.18648,0.2851,0.10826,0.5681,0.0003368,0.0003368,0.0003368
44,3319.49,0.16441,0.35409,0.42648,0.10881,0.93279,0.99971,1,0.995,0.99492,0.99801,0.9983,0.99399,0.97197,0.1353,0.16897,0.28928,0.11205,0.56018,0.0002972,0.0002972,0.0002972
45,3383.62,0.16023,0.35203,0.4225,0.10607,0.92902,0.9997,1,0.995,0.9949,0.99829,0.99859,0.99456,0.96923,0.14706,0.1747,0.28156,0.10958,0.5631,0.0002576,0.0002576,0.0002576
46,3448.45,0.15383,0.34936,0.42201,0.10274,0.92287,0.99998,1,0.995,0.99497,0.99829,0.9983,0.9943,0.96437,0.13633,0.18762,0.28643,0.10754,0.54648,0.000218,0.000218,0.000218
47,3513.8,0.15082,0.34776,0.42146,0.10075,0.91852,0.99998,1,0.995,0.99495,0.99828,0.9983,0.99429,0.96534,0.15193,0.18022,0.28282,0.1065,0.55862,0.0001784,0.0001784,0.0001784
48,3579.24,0.15329,0.3412,0.41365,0.10032,0.92487,0.99998,1,0.995,0.99491,0.99829,0.9983,0.99435,0.96296,inf,0.18618,0.28405,0.10097,0.54567,0.0001388,0.0001388,0.0001388
49,3644.5,0.14733,0.33812,0.41601,0.09772,0.91797,0.99998,1,0.995,0.99488,0.998,0.99802,0.99435,0.96274,0.13911,0.18435,0.27981,0.10349,0.55039,9.92e-05,9.92e-05,9.92e-05
50,3710.26,0.14699,0.33561,0.41676,0.09653,0.92152,0.99998,1,0.995,0.99492,0.998,0.99802,0.99406,0.95588,0.13267,0.20271,0.28833,0.10155,0.54563,5.96e-05,5.96e-05,5.96e-05
